En mi opinión… , Moim zdaniem…
Estoy convencido de que… , Jestem przekonany, że…
Por un lado… , Z jednej strony…
Por otro lado… , Z drugiej strony…
Primero… , Po pierwsze…
Segundo… , Po drugie…
Resumiendo… , Podsumowując…
…porque… , …bo…
…ya que… , …ponieważ…
…por eso… , …dlatego…
Confiar en alguien , Ufać komuś
Aprovecharse de alguien , Wykorzystywać kogoś
Pensar también en otros , Myśleć także o innych
Cuidar de alguien , Troszczyć się o kogoś
Pensar solo en uno mismo , Myśleć tylko o sobie
Corresponder (a un sentimiento) , Odwzajemniać (uczucie)
Decepcionarse , Rozczarować się
Apreciar, valorar , Doceniać
Cambiar mucho , Bardzo się zmienić
Se nota en… , Widać po…
Apostar por algo , Stawiać na coś
Parecerse a… , Być podobnym do…
Durante los últimos años , W ciągu ostatnich lat
Los agricultores modernos están formados , Współcześni rolnicy są wykształceni
Antes de entrar en la UE , Przed wejściem do Unii Europejskiej
El campo polaco cambió mucho , Polska wieś bardzo się zmieniła
Después de las inversiones en edificios agrícolas , Po inwestycjach w budynki gospodarcze
Las pequeñas granjas se modernizaron , Małe gospodarstwa zostały zmodernizowane
Me gustaría que estudiáramos juntos , Chciałbym, żebyśmy uczyli się razem
Quiero que trabajes menos , Chcę, żebyś pracował mniej
Espero que empieces a trabajar más , Mam nadzieję, że zaczniesz więcej pracować
Deberías dejar de fumar , Powinieneś rzucić palenie
Le digo que lea más , Mówię mu, żeby więcej czytał
Creo que deberíamos irnos , Uważam, że powinniśmy wyjechać
Yo debería trabajar más , Powinienem pracować więcej
Tú deberías descansar , Powinieneś odpocząć
Ella debería estudiar más , Powinna więcej się uczyć
Nosotros deberíamos salir más , Powinniśmy częściej wychodzić
Vosotros deberíais ayudar más , Powinniście więcej pomagać
Ellos deberían dormir más , Powinni spać więcej
Mi esposa quiere que vuelva temprano , Moja żona chce, żebym wracał wcześniej
Quisiera que mi padre viniera , Chciałbym, żeby mój tata przyszedł
El profesor pide que leamos el texto , Nauczyciel prosi, żebyśmy przeczytali tekst
Dije que fuerais felices , Powiedziałem wam, żebyście byli szczęśliwi
Ella quiere que sus padres sean felices , Ona chce, żeby jej rodzice byli szczęśliwi
