Frente (ES),Reverso (PL/ES)
¿Qué caso es «Narzędnik»?,Instrumental.
¿Qué preguntas responde el Narzędnik?,Kim? (¿quién?) • Czym? (¿con qué?/¿qué cosa?)
Uso clave con «być»: profesión/nacionalidad,Jan jest nauczycielem. / Sophie jest Francuzką.
Contraste: «To jest…» vs «X jest…»,To jest nauczyciel (Nominativo). / Jan jest nauczycielem (Instrumental).
Singular — adjetivo masculino/neutro,"‑ym (k,g → ‑im). Ej.: dobrym, wysokim."
Singular — sustantivo masculino,"‑em / ‑iem. Ej.: nauczycielem, studentem, dzieckiem."
Singular — adjetivo femenino,"‑ą. Ej.: dobrą, wysoką."
Singular — sustantivo femenino,"‑ą. Ej.: lekarką, Francuzką."
Irregularidades frecuentes,mężczyzna → mężczyzną; Niemiec → Niemcem.
Plural — adjetivo (todos los géneros),"‑ymi (k,g → ‑imi). Ej.: ambitnymi, europejskimi."
Plural — sustantivo (todos los géneros),"‑ami. Ej.: studentami, miastami, pracownikami."
"Modelo (nacionalidad, m)",On jest Polakiem / Włochem / Rosjaninem.
"Modelo (nacionalidad, f)",Ona jest Polką / Włoszką / Rosjanką.
"Modelo (profesión, m)",On jest lekarzem / nauczycielem / kierowcą.
"Modelo (profesión, f)",Ona jest lekarką / nauczycielką / dziennikarką.
Pregunta de control 1,Kim jesteś? — Jestem studentem / studentką.
Pregunta de control 2,Kim oni są? — Oni są ambitnymi studentami.
Pregunta de control 3,Kim ona jest? — Ona jest francuską aktorką.
