tener (yo),mam
tener (tú),masz
tener (él/ella),ma
tener (nosotros),mamy
tener (vosotros),macie
tener (ellos/ellas),mają
entender (yo),rozumiem
entender (tú),rozumiesz
entender (él/ella),rozumie
entender (nosotros),rozumiemy
entender (vosotros),rozumiecie
entender (ellos/ellas),rozumieją
disculpar (yo),przepraszam
disculpar (tú),przepraszasz
disculpar (él/ella),przeprasza
disculpar (nosotros),przepraszamy
disculpar (vosotros),przepraszacie
disculpar (ellos/ellas),przepraszają
leer (yo),czytam
leer (tú),czytasz
leer (él/ella),czyta
leer (nosotros),czytamy
leer (vosotros),czytacie
leer (ellos/ellas),czytają
preguntar (yo),pytam
preguntar (tú),pytasz
preguntar (él/ella),pyta
preguntar (nosotros),pytamy
preguntar (vosotros),pytacie
preguntar (ellos/ellas),pytają
vivir (yo),mieszkam
vivir (tú),mieszkasz
vivir (él/ella),mieszka
vivir (nosotros),mieszkamy
vivir (vosotros),mieszkacie
vivir (ellos/ellas),mieszkają
