Es muy trabajador.,On jest bardzo pracowity.
Es una persona dinámica.,To dziecko jest dynamiczne.
Es seguro de sí mismo.,Był pewny siebie zawsze.
Es una persona interesante.,To był ciekawy człowiek.
Es muy ambicioso.,Marek jest ambitny.
Es alegre.,Zosia jest wesoła.
Es espontáneo.,On reaguje spontanicznie.
Es muy sensible.,Jest bardzo wrażliwy.
Es valiente.,Był odważny na wojnie.
Es divertido.,To bardzo zabawny kolega.
Está tranquilo.,Dzisiaj jestem spokojny.
Es bien organizado.,Ma dobrze zorganizowany dzień.
Es perezoso.,Mój brat jest leniwy.
Es lento.,On chodzi powolny.
Es tímido.,Jest trochę nieśmiały.
Es cerrado.,Był zamknięty w sobie.
Es tonto.,To było głupie.
Es poco ambicioso.,On jest mało ambitny.
No es sociable.,Jest nietowarzyski w pracy.
No es espontáneo.,Reaguje mało spontanicznie.
Es insensible.,Był niewrażliwy w rozmowie.
No es romántico.,Jest mało romantyczny.
Es cobarde.,On był tchórzliwy wtedy.
No es divertido.,Ten film mało zabawny.
Está nervioso.,Dziś jestem nerwowy.
Está distraído.,Był roztargniony rano.
Nací en Cracovia.,Urodziłem się w Krakowie.
Mi abuelo murió en mayo.,Dziadek umarł w maju.
Ella se casó.,Ona wyszła za mąż.
Él se casó.,On ożenił się w lipcu.
Ella dio a luz.,Ona urodziła dziecko.
Me mudé ayer.,Wyprowadziłem się wczoraj.
Nos mudamos lejos.,Przeprowadziliśmy się daleko.
Siempre hago eso.,Zawsze tak robiłem.
De repente se apagó la luz.,Nagle zgasło światło.
Normalmente trabajo por la mañana.,Zwykle pracuję rano.
A veces escribo.,Od czasu do czasu piszę.
En un momento desapareció.,W pewnym momencie zniknął.
Trabajo de lunes a viernes.,Pracuję od poniedziałku.
Antes vivía allí.,Dawniej tam mieszkałem.
Tomo la medicina una vez al día.,Biorę lek raz dziennie.
Llama cada hora.,Co godzinę dzwoniła.
Viajo una vez al año.,Raz na rok jeżdżę.
La esperé mucho tiempo.,Długo na niego czekała.
Al final entendí.,W końcu zrozumiałem.
Por fin tengo libre.,Nareszcie mam wolne.
Llovió toda la semana.,Przez cały tydzień padało.
Estudio de cuatro a seis.,Uczę się od czwartej.
Una vez fui allí.,Pewnego razu pojechałem.
Un día llamó.,Pewnego dnia zadzwonił.
Corro cada día.,Codziennie biegam.
Pago cada mes.,Co miesiąc płacę.
Quiero decir que sé.,Chcę powiedzieć, że wiem.
Pienso que tienes razón.,Myślę, że masz rację.
Opino que es bueno.,Uważam, że to dobre.
Estoy seguro de que vendrá.,Jestem pewien, że przyjdzie.
Me parece que sí.,Wydaje mi się, że tak.
En mi opinión es mejor.,Moim zdaniem to lepsze.
No estoy de acuerdo contigo.,Nie zgadzam się z tobą.
Tienes razón.,Masz rację tutaj.
Estoy totalmente de acuerdo.,Całkowicie się zgadzam.
Yo también lo pienso.,Ja też tak myślę.
Confirmo tus palabras.,Potwierdzam twoje słowa.
