Jestem z Polski.,Soy de Polonia.
Jesteś z Hiszpanii.,Eres de España.
Ona jest nauczycielką.,Ella es profesora.
Jest w domu.,Está en casa.
Jesteśmy w Krakowie.,Estamos en Cracovia.
Jesteście gotowi?,¿Estáis listos?
Oni są w pracy.,Ellos están en el trabajo.
Mam na imię Anna.,Me llamo Anna.
Masz polski numer?,¿Tienes número polaco?
On ma komputer.,Él tiene un ordenador.
Mamy pytanie.,Tenemos una pregunta.
Macie adres?,¿Tenéis la dirección?
One mają problem.,Ellas tienen un problema.
Mieszkam w Krakowie.,Vivo en Cracovia.
Gdzie mieszkasz?,¿Dónde vives?
On mieszka w Gdańsku.,Él vive en Gdansk.
Mieszkamy blisko centrum.,Vivimos cerca del centro.
Gdzie mieszkacie?,¿Dónde vivís?
Oni mieszkają w Warszawie.,Ellos viven en Varsovia.
