Español,Polaco
Esto es una ventana.,To jest okno.
Son unas puertas.,To są drzwi.
Esto es un periódico.,To jest gazeta.
Esto es una taza.,To jest kubek.
Esto es un ordenador.,To jest komputer.
Esto es un teléfono.,To jest telefon.
Esto es un coche.,To jest samochód.
Es un estudiante.,To jest student.
Es una estudiante.,To jest studentka.
Es una mujer.,To jest kobieta.
Es un hombre.,To jest mężczyzna.
Son gafas.,To są okulary.
Es un libro.,To jest książka.
Es una casa.,To jest dom.
Es un bolígrafo.,To jest długopis.
Es un niño.,To jest dziecko.
Es un dentista.,To jest dentysta.
Es una dentista.,To jest dentystka.
¿Qué es esto?,Co to jest?
¿Quién es?,Kto to jest?
