Español,Polaco
Hablo polaco.,Mówię po polsku.
¿Hablas español?,Mówisz po hiszpańsku?
Ella habla francés.,Ona mówi po francusku.
Hablamos inglés.,Mówimy po angielsku.
¿Habláis alemán?,Czy mówicie po niemiecku?
Ellos hablan ruso.,Oni mówią po rosyjsku.
Me gusta el café.,Lubię kawę.
¿Te gusta la música?,Lubisz muzykę?
A él le gusta el deporte.,On lubi sport.
Nos gusta el cine.,Lubimy kino.
¿Os gusta la música?,Lubicie muzykę?
A ellas les gustan los libros.,One lubią książki.
Hago la tarea.,Robię zadanie.
¿Qué haces ahora?,Co robisz teraz?
Ella hace té.,Ona robi herbatę.
Hacemos un proyecto.,Robimy projekt.
¿Hacéis fotos?,Czy robicie zdjęcia?
Ellos hacen una pausa.,Oni robią przerwę.
Estudio polaco.,Uczę się polskiego.
¿Qué estudias?,Czego uczysz się?
Él estudia alemán.,On uczy się niemieckiego.
Estudiamos japonés.,Uczymy się japońskiego.
¿Qué estudiáis en casa?,Czego uczycie się w domu?
Ellos estudian francés.,Oni uczą się francuskiego.
Bailo tango.,Tańczę tango.
¿Bailas salsa?,Tańczysz salsę?
Ella baila en el club.,Ona tańczy w klubie.
Bailamos juntos.,Tańczymy razem.
¿Bailáis?,Czy tańczycie?
Ellos bailan muy bien.,Oni tańczą świetnie.
