Hola,Cześć
Buenos días,Dzień dobry
Buenas noches (saludo),Dobry wieczór
Adiós,Do widzenia
Buenas noches (despedida),Dobranoc
Hasta luego,Na razie
Nos vemos,Do zobaczenia
Gracias,Dziękuję
Por favor,Proszę
De nada,Proszę
Perdón,Przepraszam
Disculpe,Przepraszam
Encantado,Miło mi
Encantada,Miło mi
Repita por favor,Proszę powtórzyć
¿Qué significa...?,Co to znaczy...?
Otra vez por favor,Jeszcze raz proszę
señor (usted),pan
señora (usted),pani
ustedes (formal),państwo
Estupendo,Świetnie
Muy bien,Bardzo dobrze
Bien,Dobrze
Así así,Tak sobie
Mal,Źle
Muy mal,Bardzo źle
Fatal,Fatalnie
Todo bien,Wszystko w porządku
Nada nuevo,Nic nowego
Como siempre,Po staremu
¿Cómo te llamas?,Jak masz na imię?
¿Cómo te apellidas?,Jak się nazywasz?
¿Cómo estás?,Jak się masz?
¿Qué tal?,Co słychać?
¿De dónde eres?,Skąd jesteś?
¿Dónde vives?,Gdzie mieszkasz?
¿Y tú?,A ty?
¿Y usted?,A pan/pani?
¿Cuál es tu número de teléfono?,Jaki masz numer telefonu?
¿Cuál es tu dirección?,Jaki masz adres?
nombre,imię
apellido,nazwisko
número de teléfono,numer telefonu
dirección,adres
calle (ul.),ulica (ul.)
avenida (al.),aleja (al.)
plaza (pl.),plac (pl.)
urbanización (os.),osiedle (os.)
código postal,kod pocztowy
ciudad,miasto
de (procedencia),z
en (ciudad),w
cero,zero
uno,jeden
dos,dwa
tres,trzy
cuatro,cztery
cinco,pięć
seis,sześć
siete,siedem
ocho,osiem
nueve,dziewięć
diez,dziesięć
